"","X","lead","follower","X.x","leaddata","followdata","lag","pvalue","X.y","TE","adjcos"
"70",70,"Vehicle696","Vehicle702",963,34,37,-3,2.52e-05,2213,0.113104275018345,0.370845093003251
"71",71,"Vehicle696","Vehicle702",964,31,35,-4,0.000468482,2213,0.113104275018345,0.370845093003251
"72",72,"Vehicle70","Vehicle82",86,31,33,-2,0.000687769,185,0.23134192722378,-0.78606178807087
"73",73,"Vehicle721","Vehicle743",1000,35,39,-4,2.89e-06,2376,0.189090295085145,-0.976124726747754
"74",74,"Vehicle724","Vehicle751",1008,38,40,-2,2.08e-05,2401,0.155077359279326,-0.823902986403772
"75",75,"Vehicle724","Vehicle751",1009,35,38,-3,3.32e-05,2401,0.155077359279326,-0.823902986403772
"76",76,"Vehicle725","Vehicle737",1011,38,40,-2,5.95e-05,2404,0.111283435849224,-0.981281252126191
"77",77,"Vehicle733","Vehicle745",1024,33,35,-2,0.000545244,2445,0.121119206959099,-0.96217009830128
"78",78,"Vehicle742","Vehicle762",1042,26,30,-4,0.000793023,2513,0.123329786855455,-0.963019458915605
"79",79,"Vehicle816","Vehicle817",1136,31,33,-2,2.33e-05,2747,0.416044621095092,-0.936515402111388
"80",80,"Vehicle816","Vehicle817",1137,28,31,-3,2.34e-06,2747,0.416044621095092,-0.936515402111388
"81",81,"Vehicle816","Vehicle817",1138,25,29,-4,7.77e-05,2747,0.416044621095092,-0.936515402111388
"82",82,"Vehicle842","Vehicle844",1169,24,26,-2,0.000475345,2814,0.209315907288141,-0.305273398083657
"83",83,"Vehicle856","Vehicle880",1192,37,39,-2,0.000532219,2878,0.112319605041727,-0.978776093184954
"84",84,"Vehicle862","Vehicle870",1203,35,37,-2,0.000408757,2907,0.117129300567026,-0.994800688389536
"85",85,"Vehicle874","Vehicle891",1222,30,32,-2,0.000450996,2970,0.245640002783715,-0.317257132281332
"86",86,"Vehicle893","Vehicle913",1249,29,31,-2,0.000594186,3049,0.124953364392502,-0.925115042074448
"87",87,"Vehicle91","Vehicle92",120,23,26,-3,0.000359184,246,0.131999226849977,-0.240609505387013
"88",88,"Vehicle91","Vehicle92",119,26,28,-2,0.000700032,246,0.131999226849977,-0.240609505387013
"89",89,"Vehicle926","Vehicle939",1298,27,29,-2,0.000184307,3156,0.255462126178709,-0.86832607504997
"90",90,"Vehicle933","Vehicle943",1307,19,23,-4,0.000628846,3177,0.202435840035054,-0.982659320723697
"91",91,"Vehicle952","Vehicle974",1331,47,49,-2,0.000125561,3258,0.134237492955606,0.424163133356802
"92",92,"Vehicle952","Vehicle974",1332,41,45,-4,0.00024641,3258,0.134237492955606,0.424163133356802
"93",93,"Vehicle957","Vehicle960",1338,27,29,-2,0.000558526,3279,0.19346843554502,-0.878929950174706
"94",94,"Vehicle967","Vehicle978",1357,30,32,-2,0.000787879,3316,0.244257836992901,-0.982392887735207
"95",95,"Vehicle978","Vehicle984",1372,24,28,-4,0.000914203,3385,0.181049196962716,-0.935526909028143
"96",96,"Vehicle987","Vehicle991",1387,30,32,-2,0.000108531,3421,0.126925190904033,-0.953317031269126
"97",97,"Vehicle991","Vehicle1004",1393,29,31,-2,0.000577869,3434,0.18798979024102,NA
"98",98,"Vehicle996","Vehicle1000",1400,26,28,-2,0.000474071,3451,0.138818174163299,NA
