"","lead","follower","X.x","lag","pvalue.x","X.y","TE","pvalue.y","adjcos"
"85","Vehicle181","Vehicle183",303,-3,0.000278454005842791,2426,0.122311828922939,0,-0.98456578022048
"86","Vehicle187","Vehicle191",320,-2,0.000743739773617182,2525,0.203294068745642,0,-0.992236514000429
"87","Vehicle192","Vehicle196",333,-3,0.000542838648569772,2642,0.212634995696623,0,-0.889681596105961
"88","Vehicle192","Vehicle196",334,-4,0.000208295409388442,2642,0.212634995696623,0,-0.889681596105961
"89","Vehicle194","Vehicle200",339,-3,1.5117287013993e-05,2688,0.105607019047771,0,-0.758110022212597
"90","Vehicle194","Vehicle200",340,-4,0.000199130956770806,2688,0.105607019047771,0,-0.758110022212597
"91","Vehicle200","Vehicle227",351,-2,0.00020202512671235,2817,0.158428507813778,0,-0.976580215524968
"92","Vehicle205","Vehicle213",363,-3,0.000824221925254895,2923,0.132407381732759,0,-0.989167907126404
"93","Vehicle208","Vehicle225",373,-4,0.000347828166025826,2963,0.123049236099739,0,-0.992635914863955
"94","Vehicle23","Vehicle24",36,-3,0.000526851623664389,206,0.122909802368737,0,-0.581993670997388
"95","Vehicle24","Vehicle27",38,-2,0.000253468382803529,212,0.125051565469811,0,0.214635123754169
"96","Vehicle24","Vehicle31",40,-3,0.000691955247687795,216,0.299985322865312,0,0.852514376929522
"97","Vehicle24","Vehicle31",39,-2,3.47474018952488e-06,216,0.299985322865312,0,0.852514376929522
"98","Vehicle241","Vehicle246",424,-2,0.000363520245607561,3394,0.213785422645841,0,-0.825970940673563
"99","Vehicle245","Vehicle247",432,-3,9.60717480488983e-06,3451,0.127799433150152,0,-0.994749544765169
"100","Vehicle245","Vehicle247",433,-4,0.000618047106084985,3451,0.127799433150152,0,-0.994749544765169
"101","Vehicle252","Vehicle253",443,-2,0.000126425590622674,3584,0.171164703134112,0,-0.96275453822551
"102","Vehicle260","Vehicle267",467,-2,0.000174380840105175,3707,0.143965894732973,0,-0.65283001247558
"103","Vehicle264","Vehicle275",473,-3,0.000503681660106368,3773,0.134191973188068,0,-0.6217906097776
"104","Vehicle267","Vehicle271",480,-3,0.000746217821083303,3807,0.164694654006285,0,0.294039225446616
"105","Vehicle280","Vehicle287",513,-2,0.000221560020598189,4132,0.117664994237414,0,-0.945144363739371
"106","Vehicle287","Vehicle301",525,-3,0.000660240884944411,4312,0.141116478220168,0,0.310995348286368
"107","Vehicle295","Vehicle307",544,-2,0.000555788569018991,4491,0.141494144862665,0,0.684914169543836
