"","X.Lead.","X.Follower.","X.TE."
"198","Vehicle70","Vehicle83","0.130301475408747"
"200","Vehicle71","Vehicle74","0.155851697071105"
"201","Vehicle71","Vehicle76","0.115901995763061"
"202","Vehicle71","Vehicle79","0.155851697071105"
"203","Vehicle71","Vehicle84","0.116956458420742"
"204","Vehicle71","Vehicle91","0.165811861908697"
"205","Vehicle71","Vehicle94","0.200531904733872"
"206","Vehicle71","Vehicle96","0.154147918041976"
"207","Vehicle71","Vehicle102","0.155851697071105"
"209","Vehicle72","Vehicle73","0.224344619520754"
"211","Vehicle73","Vehicle77","0.233183641370025"
"212","Vehicle73","Vehicle82","0.189125004820511"
"213","Vehicle73","Vehicle84","0.133179614016126"
"214","Vehicle73","Vehicle85","0.255481321454754"
"215","Vehicle73","Vehicle87","0.189125004820511"
"216","Vehicle73","Vehicle90","0.247948534232276"
"218","Vehicle74","Vehicle76","0.115901995763061"
"219","Vehicle74","Vehicle81","0.250131463764609"
"220","Vehicle74","Vehicle93","0.112146391353459"
"222","Vehicle75","Vehicle83","0.204159884307764"
"223","Vehicle75","Vehicle89","0.204159884307764"
"225","Vehicle76","Vehicle79","0.112172181588148"
"226","Vehicle76","Vehicle80","0.174736454637842"
"227","Vehicle76","Vehicle90","0.116094219423619"
"228","Vehicle76","Vehicle93","0.157872501128072"
"229","Vehicle76","Vehicle97","0.113251698471924"
"232","Vehicle78","Vehicle83","0.123713967785239"
"233","Vehicle78","Vehicle88","0.126925190904033"
"234","Vehicle78","Vehicle90","0.126925190904033"
"235","Vehicle78","Vehicle99","0.236604752518271"
"237","Vehicle79","Vehicle90","0.16380825052475"
"238","Vehicle79","Vehicle93","0.140933598523254"
"239","Vehicle79","Vehicle106","0.207417880954371"
"241","Vehicle80","Vehicle81","0.250131463764609"
"242","Vehicle80","Vehicle87","0.124516406877089"
"243","Vehicle80","Vehicle95","0.122104875690473"
"245","Vehicle81","Vehicle93","0.244534572152774"
"247","Vehicle82","Vehicle90","0.247948534232276"
"248","Vehicle82","Vehicle92","0.134695372306932"
"249","Vehicle82","Vehicle96","0.130301475408747"
"251","Vehicle83","Vehicle99","0.131933885980658"
"253","Vehicle84","Vehicle97","0.117961957647258"
"254","Vehicle84","Vehicle98","0.21155365718622"
"255","Vehicle84","Vehicle103","0.212588738329628"
"258","Vehicle86","Vehicle92","0.254074496151081"
"259","Vehicle86","Vehicle101","0.134611562825017"
"260","Vehicle86","Vehicle103","0.136293440383956"
"262","Vehicle87","Vehicle89","0.223913964833752"
"263","Vehicle87","Vehicle90","0.21155365718622"
"264","Vehicle87","Vehicle95","0.101030636707178"
"265","Vehicle87","Vehicle102","0.115948167483161"
"267","Vehicle88","Vehicle89","0.223913964833752"
"268","Vehicle88","Vehicle90","0.226325496020368"
"269","Vehicle88","Vehicle95","0.122104875690473"
"270","Vehicle88","Vehicle98","0.226325496020368"
"271","Vehicle88","Vehicle100","0.120675836184567"
"273","Vehicle89","Vehicle90","0.226325496020368"
"274","Vehicle89","Vehicle97","0.122328094551463"
"275","Vehicle89","Vehicle102","0.122328094551463"
"277","Vehicle90","Vehicle100","0.282837998346729"
"278","Vehicle90","Vehicle103","0.117129300567026"
"281","Vehicle92","Vehicle96","0.119963013091865"
"282","Vehicle92","Vehicle102","0.117753704073062"
"283","Vehicle92","Vehicle105","0.21096521378469"
"285","Vehicle93","Vehicle95","0.264809861471235"
"286","Vehicle93","Vehicle109","0.308379489478413"
"287","Vehicle93","Vehicle116","0.123553005716444"
"288","Vehicle93","Vehicle117","0.118996574909209"
"289","Vehicle93","Vehicle118","0.123233819115672"
"291","Vehicle94","Vehicle97","0.169020271158606"
"292","Vehicle94","Vehicle104","0.200531904733872"
"293","Vehicle94","Vehicle105","0.21096521378469"
"294","Vehicle94","Vehicle114","0.116963937764569"
"296","Vehicle95","Vehicle96","0.165811861908697"
"297","Vehicle95","Vehicle102","0.119184344906461"
"298","Vehicle95","Vehicle104","0.166842498615876"
"300","Vehicle96","Vehicle109","0.243364888304508"
"301","Vehicle96","Vehicle116","0.226325496020368"
"303","Vehicle97","Vehicle112","0.258609720033959"
"304","Vehicle97","Vehicle113","0.174736454637842"
"306","Vehicle98","Vehicle106","0.114171780839296"
"307","Vehicle98","Vehicle110","0.110533723313382"
"308","Vehicle98","Vehicle117","0.118996574909209"
"310","Vehicle99","Vehicle107","0.112987182349949"
"311","Vehicle99","Vehicle111","0.214809861471235"
"312","Vehicle99","Vehicle120","0.116094219423619"
